Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",45.75
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",44.47
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",44.34
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",44.33
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",44.31
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",44.29
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",44.27
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",44.25
2000,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2005,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2010,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2015,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2016,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2017,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2018,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2019,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2020,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2021,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Annual forest area change rate (%) [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",-0.44363
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Annual forest area change rate (%) [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",-0.48271
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",18.11
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",34.3213
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",49.5295
