Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2017,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,69.63
2018,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,74.11
2019,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,76.07
2020,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,75.86
2021,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,81.88
2017,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,16530.0
2018,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,18402.0
2019,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,19569.0
2020,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,20062.0
2021,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,22147.0
2017,M,Global Model for Monitoring Marine Litter,Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,23740.0
2018,M,Global Model for Monitoring Marine Litter,Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,24832.0
2019,M,Global Model for Monitoring Marine Litter,Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,25726.0
2020,M,Global Model for Monitoring Marine Litter,Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,26446.0
2021,M,Global Model for Monitoring Marine Litter,Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,27047.0
2017,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,30.37
2018,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,25.89
2019,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,23.93
2020,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,24.14
2021,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,18.12
2017,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,7210.0
2018,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,6430.0
2019,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,6157.0
2020,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,6384.0
