Year,SOURCE_DETAIL,Sex,Education level,Composite breakdown,Source details,Value
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,,Primary education,Skill: Mathematics,NA,29.1
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 2,,Primary education,Skill: Mathematics,NA,27.2
2021,NA,,Primary education,Skill: Mathematics,NA,34.0
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6,,Primary education,Skill: Reading,NA,34.8
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6,,Primary education,Skill: Reading,NA,41.1
2021,NA,,Primary education,Skill: Reading,NA,13.3
2017,NA,,Lower secondary education,Skill: Mathematics,NA,7.71
2017,NA,,Lower secondary education,Skill: Reading,NA,8.66
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,,"Some primary education, grades 2 or 3",Skill: Mathematics,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,63.2
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,,"Some primary education, grades 2 or 3",Skill: Mathematics,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,79.1
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 2,,"Some primary education, grades 2 or 3",Skill: Reading,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,28.74
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,,"Some primary education, grades 2 or 3",Skill: Reading,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,47.7
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,Female,Primary education,Skill: Mathematics,NA,25.0
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 2,Female,Primary education,Skill: Mathematics,NA,28.0
2021,NA,Female,Primary education,Skill: Mathematics,NA,33.9
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6,Female,Primary education,Skill: Reading,NA,34.23
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6,Female,Primary education,Skill: Reading,NA,43.5
2021,NA,Female,Primary education,Skill: Reading,NA,14.6
2017,NA,Female,Lower secondary education,Skill: Mathematics,NA,7.17
2017,NA,Female,Lower secondary education,Skill: Reading,NA,9.13
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,Female,"Some primary education, grades 2 or 3",Skill: Mathematics,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,59.66
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,Female,"Some primary education, grades 2 or 3",Skill: Mathematics,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,78.2
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 2,Female,"Some primary education, grades 2 or 3",Skill: Reading,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,26.53
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,Female,"Some primary education, grades 2 or 3",Skill: Reading,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,48.2
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,Male,Primary education,Skill: Mathematics,NA,33.33
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 2,Male,Primary education,Skill: Mathematics,NA,28.5
2021,NA,Male,Primary education,Skill: Mathematics,NA,34.1
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6,Male,Primary education,Skill: Reading,NA,35.2
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6,Male,Primary education,Skill: Reading,NA,38.2
2021,NA,Male,Primary education,Skill: Reading,NA,11.6
2017,NA,Male,Lower secondary education,Skill: Mathematics,NA,8.34
2017,NA,Male,Lower secondary education,Skill: Reading,NA,8.11
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,Male,"Some primary education, grades 2 or 3",Skill: Mathematics,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,66.48
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,Male,"Some primary education, grades 2 or 3",Skill: Mathematics,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,80.2
2014,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 2,Male,"Some primary education, grades 2 or 3",Skill: Reading,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,30.81
2019,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,Male,"Some primary education, grades 2 or 3",Skill: Reading,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,46.0
