Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2005,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",117.05945
2006,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",263.60855
2007,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",120.27035
2008,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",350.3891
2009,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",393.01989
2010,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",948.65213
2011,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",235.89776
2012,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",366.12364
2013,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",343.9169
2014,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",395.84678
2015,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",641.77812
2016,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",264.49528
2017,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1010.69688
2018,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",414.48455
2019,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",714.43089
2020,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",422.13352
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",197.91252
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",182.93644
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",278.3389
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",208.947
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",246.08997
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",297.75224
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",259.66222
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",317.64251
