Year,NATURE,SOURCE_DETAIL,Age,Value
2001,CA,Senegal 2015 Demographic and Health Survey,10 to 14 years old,3.9
2002,CA,Senegal 2005 Demographic and Health Survey,10 to 14 years old,3.9
2003,CA,Senegal 2005 Demographic and Health Survey,10 to 14 years old,4.8
2004,CA,Senegal 2006 Malaria Indicators Survey,10 to 14 years old,5.1
2005,CA,Senegal 2006 Malaria Indicators Survey,10 to 14 years old,2.8
2006,CA,Senegal 2008-2009 Malaria Indicators Survey,10 to 14 years old,4.9
2007,CA,Senegal 2008-2009 Malaria Indicators Survey,10 to 14 years old,2.8
2008,CA,Senegal 2010-2011 Enquête Démographique et de Santé à Indicateurs Multiples,10 to 14 years old,7.1
2009,CA,Senegal 2010-2011 Enquête Démographique et de Santé à Indicateurs Multiples,10 to 14 years old,3.7
2010,CA,Senegal 2012-2013 Enquête Démographique et de Santé Continue,10 to 14 years old,1.9
2011,CA,Senegal 2012-2013 Enquête Démographique et de Santé Continue,10 to 14 years old,1.0
2012,CA,Senegal 2014 Demographic and Health Survey,10 to 14 years old,0.5
2013,CA,Senegal 2015 Demographic and Health Survey,10 to 14 years old,1.5
2014,CA,Senegal 2016 Demographic and Health Survey,10 to 14 years old,1.7
2015,CA,Senegal 2017 Demographic and Health Survey,10 to 14 years old,1.5
2016,CA,Senegal 2017 Demographic and Health Survey,10 to 14 years old,0.9
2017,CA,Senegal 2018 Demographic and Health Survey,10 to 14 years old,0.9
2018,CA,Senegal 2019 Demographic and Health Survey,10 to 14 years old,0.9
2001,CA,Senegal 2015 Demographic and Health Survey,15 to 19 years old,102.0
2002,C,Senegal 2002 Census,15 to 19 years old,116.2
2003,C,Senegal 2005 Demographic and Health Survey,15 to 19 years old,100.7
2004,CA,Senegal 2006 Malaria Indicators Survey,15 to 19 years old,91.5
2005,C,Senegal 2006 Malaria Indicators Survey (MIS),15 to 19 years old,93.2
2006,C,Senegal 2008-2009 Malaria Indicators Survey (MIS),15 to 19 years old,96.0
2007,C,Senegal 2008-2009 Malaria Indicators Survey (MIS),15 to 19 years old,90.4
2008,C,Senegal 2010-2011 Enquête Démographique et de Santé à Indicateurs Multiples,15 to 19 years old,96.0
2009,C,Senegal 2010-2011 Enquête Démographique et de Santé à Indicateurs Multiples,15 to 19 years old,92.7
2010,CA,Senegal 2012-2013 Enquête Démographique et de Santé Continue,15 to 19 years old,83.1
2011,C,Senegal 2012-2013 Enquête Démographique et de Santé Continue,15 to 19 years old,79.7
2012,C,Senegal 2014 Demographic and Health Survey,15 to 19 years old,89.9
2013,C,Senegal 2015 Demographic and Health Survey,15 to 19 years old,80.2
2014,C,Senegal 2016 Demographic and Health Survey,15 to 19 years old,72.5
2015,CA,Senegal 2017 Demographic and Health Survey,15 to 19 years old,78.5
2016,C,Senegal 2017 Demographic and Health Survey (DHS),15 to 19 years old,77.5
2017,C,Senegal 2018 Demographic and Health Survey,15 to 19 years old,68.0
2018,CA,Senegal 2019 Demographic and Health Survey,15 to 19 years old,71.3
