Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Sex,Unit of measure,Upper bound value,Lower bound value,Value
2000,10.6,5.5,Suicide mortality rate [3.4.2],,"Per 100,000 population",8.8,4.3,7.6
2005,7.8,4.6,Suicide mortality rate [3.4.2],,"Per 100,000 population",8.8,4.3,6.0
2010,7.7,4.6,Suicide mortality rate [3.4.2],,"Per 100,000 population",8.8,4.3,6.0
2015,7.5,4,Suicide mortality rate [3.4.2],,"Per 100,000 population",8.8,4.3,5.5
2019,8.8,4.3,Suicide mortality rate [3.4.2],,"Per 100,000 population",8.8,4.3,6.1
2000,5.7,3.3,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",4.3,2.3,4.4
2005,3.6,2.3,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",4.3,2.3,3.0
2010,4.2,2.6,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",4.3,2.3,3.4
2015,3.9,2.1,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",4.3,2.3,2.9
2019,4.3,2.3,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",4.3,2.3,3.2
2000,15.6,7.8,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",13.3,6.3,10.8
2005,12.1,7,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",13.3,6.3,9.2
2010,11.4,6.6,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",13.3,6.3,8.5
2015,11.1,5.8,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",13.3,6.3,8.0
2019,13.3,6.3,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",13.3,6.3,9.1
2000,3386,1770,Number of deaths attributed to suicide [3.4.2],,Number,4613,2246,2427.0
2005,2867,1698,Number of deaths attributed to suicide [3.4.2],,Number,4613,2246,2214.0
2010,3253,1930,Number of deaths attributed to suicide [3.4.2],,Number,4613,2246,2501.0
2015,3579,1897,Number of deaths attributed to suicide [3.4.2],,Number,4613,2246,2613.0
2019,4613,2246,Number of deaths attributed to suicide [3.4.2],,Number,4613,2246,3214.0
2000,910,532,Number of deaths attributed to suicide [3.4.2],Female,Number,1143,601,707.0
2005,666,433,Number of deaths attributed to suicide [3.4.2],Female,Number,1143,601,546.0
2010,884,555,Number of deaths attributed to suicide [3.4.2],Female,Number,1143,601,718.0
2015,929,514,Number of deaths attributed to suicide [3.4.2],Female,Number,1143,601,707.0
2019,1143,601,Number of deaths attributed to suicide [3.4.2],Female,Number,1143,601,843.0
2000,2475,1238,Number of deaths attributed to suicide [3.4.2],Male,Number,3470,1645,1720.0
2005,2202,1264,Number of deaths attributed to suicide [3.4.2],Male,Number,3470,1645,1667.0
2010,2369,1375,Number of deaths attributed to suicide [3.4.2],Male,Number,3470,1645,1784.0
2015,2650,1384,Number of deaths attributed to suicide [3.4.2],Male,Number,3470,1645,1905.0
2019,3470,1645,Number of deaths attributed to suicide [3.4.2],Male,Number,3470,1645,2371.0
