Year,UNIT_MULT,NATURE,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Upper bound value,Lower bound value,Source details,Observation-level footnotes,COMMENT_OBS,Value
2000,0,CA,11.3,8.9,"Rapport de l'enquête sur les objectives de la fin de decennie sur l'enfance (MICS-II-2000). Dakar, Senegal, Novembre 2000",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,9.2,7.2,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2019). Rockville, Maryland, USA : ANSD et ICF",Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,,10.0
2005,0,CA,10.2,7.4,"Enquête démographique et de santé au Sénégal 2005. Demographic and Health Surveys. Calverton, Maryland, USA : Centre de Recherche pour le Développement Humain [Sénégal] et ORC Macro, 2006",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,9.2,7.2,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2019). Rockville, Maryland, USA : ANSD et ICF",Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,,8.7
2011,0,CA,10.8,8.8,"Enquête démographique et de santé à indicateurs multiples au Sénégal (EDS-MICS) 2010-2011. Demographic and Health Surveys and MICS. Calverton, Maryland, USA: ANSD et ICF International, 2012",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,9.2,7.2,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2019). Rockville, Maryland, USA : ANSD et ICF",Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,,9.8
2012,0,CA,9.2,8.3,"Enqeute SMART Nationale SMART 2012. Dakar, Senegal: CLM, 2013 ",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,9.2,7.2,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2019). Rockville, Maryland, USA : ANSD et ICF",Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,8.7
2013,0,CA,10.1,8,"Enquête démographique et de santé continue (EDS-Continue 2012-2013). Demographic and Health Surveys. Calverton, Maryland, USA: ANSD et ICF International., 2013 ",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,9.2,7.2,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2019). Rockville, Maryland, USA : ANSD et ICF",Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,,9.0
2014,0,CA,6.9,5,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2014). Rockville, Maryland, USA : ANSD et ICF International, 2015.",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,9.2,7.2,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2019). Rockville, Maryland, USA : ANSD et ICF",Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,,5.9
2015,0,CA,8.7,6.9,Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2015).  Octobre 2016,Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,9.2,7.2,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2019). Rockville, Maryland, USA : ANSD et ICF",Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,,7.8
2016,0,CA,8.1,6.3,"Senegal : Enquête Démographique et de Santé Continue (EDS-Continue 2016). Rockville, Maryland, USA : ANSD et ICF",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,9.2,7.2,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2019). Rockville, Maryland, USA : ANSD et ICF",Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,,7.1
2017,0,CA,9.7,8.3,"Enquête Continue du Sénégal, Cinquième Phase 2017 : Rapport de synthèse. Rockville, Maryland, USA : ANSD et ICF",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,9.2,7.2,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2019). Rockville, Maryland, USA : ANSD et ICF",Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,,9.0
2018,0,CA,8.8,6.9,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2018). Rockville, Maryland, USA : ANSD et ICF.",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,9.2,7.2,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2019). Rockville, Maryland, USA : ANSD et ICF",Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected ,,7.8
