Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,2.55519,1.61939,,2.75273,1.72682,2.01811
2005,1.41973,0.7469,,2.75273,1.72682,1.00906
2010,2.29219,1.34635,,2.75273,1.72682,1.74062
2015,2.56219,1.55424,,2.75273,1.72682,2.0097
2019,2.75273,1.72682,,2.75273,1.72682,2.14845
2000,1.01232,0.63927,Female,1.07295,0.66723,0.79107
2005,0.55921,0.29329,Female,1.07295,0.66723,0.39323
2010,0.89631,0.52145,Female,1.07295,0.66723,0.67184
2015,1.00061,0.60285,Female,1.07295,0.66723,0.77436
2019,1.07295,0.66723,Female,1.07295,0.66723,0.82844
2000,4.2058,2.64829,Male,4.5382,2.83637,3.28917
2005,2.32185,1.22475,Male,4.5382,2.83637,1.64734
2010,3.78685,2.22851,Male,4.5382,2.83637,2.84824
2015,4.20636,2.544,Male,4.5382,2.83637,3.28653
2019,4.5382,2.83637,Male,4.5382,2.83637,3.51096
