Year,SDG Series,Type of product,COMMENT_OBS,Observation-level footnotes,Value
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.47704
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,4.72592
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.04376
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.05694
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.63679
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.60495
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.64209
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.61129
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.60089
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.48828
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.46856
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.4936
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.49438
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,5.78801
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,5.73645
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,6.15066
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,6.14389
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,5.77175
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,5.78255
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,5.7752
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,5.83622
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,5.87174
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,5.75043
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,5.76696
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,5.94655
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,5.94889
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.44382
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.44382
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.44381
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.44381
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.44381
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.44381
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.44387
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.44387
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,2.44383
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,1.91745
