Year,SDG Series,Sex,Age,Value
2014,Detected victims of human trafficking (number) [16.2.2],,,143
2015,Detected victims of human trafficking (number) [16.2.2],,,318
2016,Detected victims of human trafficking (number) [16.2.2],,,187
2017,Detected victims of human trafficking (number) [16.2.2],,,352
2016,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,56
2017,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,60
2016,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,18 years old and over,56
2017,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,18 years old and over,60
2016,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,,3
2017,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,,207
2016,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,18 years old and over,3
2017,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,18 years old and over,207
