Year,SDG Series,Type of product,COMMENT_OBS,Observation-level footnotes,Value
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,10.76555
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,9.26754
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,10.03378
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,9.61791
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,9.79515
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,9.78671
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,10.28334
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,10.39471
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,11.9118
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,11.81106
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,14.37274
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,13.5353
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,13.8136
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,13.81368
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,14.95992
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,15.17872
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,19.1939
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,18.93712
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,19.86082
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,19.63466
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,19.83557
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,19.83557
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,19.91068
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,19.78108
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,20.0
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,20.0
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,20.0
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,20.0
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,20.0
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,20.0
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,20.0
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,20.0
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,10.24217
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,9.45184
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,9.48917
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,9.85604
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,9.25959
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,9.24644
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,9.56263
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,9.2976
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
