Year,SDG Series,Degree of urbanisation,Value
2000,Proportion of population practicing open defecation [6.2.1],,18
2001,Proportion of population practicing open defecation [6.2.1],,17
2002,Proportion of population practicing open defecation [6.2.1],,17
2003,Proportion of population practicing open defecation [6.2.1],,16
2004,Proportion of population practicing open defecation [6.2.1],,16
2005,Proportion of population practicing open defecation [6.2.1],,15
2006,Proportion of population practicing open defecation [6.2.1],,15
2007,Proportion of population practicing open defecation [6.2.1],,14
2008,Proportion of population practicing open defecation [6.2.1],,14
2009,Proportion of population practicing open defecation [6.2.1],,13
2010,Proportion of population practicing open defecation [6.2.1],,13
2011,Proportion of population practicing open defecation [6.2.1],,13
2012,Proportion of population practicing open defecation [6.2.1],,12
2013,Proportion of population practicing open defecation [6.2.1],,12
2014,Proportion of population practicing open defecation [6.2.1],,11
2015,Proportion of population practicing open defecation [6.2.1],,11
2016,Proportion of population practicing open defecation [6.2.1],,10
2017,Proportion of population practicing open defecation [6.2.1],,10
2018,Proportion of population practicing open defecation [6.2.1],,9
2019,Proportion of population practicing open defecation [6.2.1],,9
2020,Proportion of population practicing open defecation [6.2.1],,9
2000,Proportion of population practicing open defecation [6.2.1],Rural,21
2001,Proportion of population practicing open defecation [6.2.1],Rural,21
2002,Proportion of population practicing open defecation [6.2.1],Rural,20
2003,Proportion of population practicing open defecation [6.2.1],Rural,20
2004,Proportion of population practicing open defecation [6.2.1],Rural,19
2005,Proportion of population practicing open defecation [6.2.1],Rural,19
2006,Proportion of population practicing open defecation [6.2.1],Rural,18
2007,Proportion of population practicing open defecation [6.2.1],Rural,18
2008,Proportion of population practicing open defecation [6.2.1],Rural,17
2009,Proportion of population practicing open defecation [6.2.1],Rural,17
2010,Proportion of population practicing open defecation [6.2.1],Rural,16
2011,Proportion of population practicing open defecation [6.2.1],Rural,16
2012,Proportion of population practicing open defecation [6.2.1],Rural,15
2013,Proportion of population practicing open defecation [6.2.1],Rural,15
2014,Proportion of population practicing open defecation [6.2.1],Rural,14
2015,Proportion of population practicing open defecation [6.2.1],Rural,14
2016,Proportion of population practicing open defecation [6.2.1],Rural,13
2017,Proportion of population practicing open defecation [6.2.1],Rural,13
2018,Proportion of population practicing open defecation [6.2.1],Rural,12
2019,Proportion of population practicing open defecation [6.2.1],Rural,12
2020,Proportion of population practicing open defecation [6.2.1],Rural,11
2000,Proportion of population practicing open defecation [6.2.1],Urban,3
2001,Proportion of population practicing open defecation [6.2.1],Urban,3
2002,Proportion of population practicing open defecation [6.2.1],Urban,3
2003,Proportion of population practicing open defecation [6.2.1],Urban,3
2004,Proportion of population practicing open defecation [6.2.1],Urban,3
2005,Proportion of population practicing open defecation [6.2.1],Urban,3
2006,Proportion of population practicing open defecation [6.2.1],Urban,3
2007,Proportion of population practicing open defecation [6.2.1],Urban,2
2008,Proportion of population practicing open defecation [6.2.1],Urban,2
2009,Proportion of population practicing open defecation [6.2.1],Urban,2
2010,Proportion of population practicing open defecation [6.2.1],Urban,2
2011,Proportion of population practicing open defecation [6.2.1],Urban,2
2012,Proportion of population practicing open defecation [6.2.1],Urban,2
2013,Proportion of population practicing open defecation [6.2.1],Urban,2
2014,Proportion of population practicing open defecation [6.2.1],Urban,2
2015,Proportion of population practicing open defecation [6.2.1],Urban,2
2016,Proportion of population practicing open defecation [6.2.1],Urban,2
2017,Proportion of population practicing open defecation [6.2.1],Urban,2
2018,Proportion of population practicing open defecation [6.2.1],Urban,1
2019,Proportion of population practicing open defecation [6.2.1],Urban,1
2020,Proportion of population practicing open defecation [6.2.1],Urban,1
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],,26
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],,26
