Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Income or wealth quantile,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2016,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population covered by at least one social protection benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,10.4
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population covered by at least one social protection benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,10.1
2016,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of children/households receiving child/family cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,8.1
2019,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of children/households receiving child/family cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,3.6
2019,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,0.2
2019,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of mothers with newborns receiving maternity cash benefit [1.3.1],Female,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,30.2
2000,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,1.0
2016,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,24.8
2019,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,13.2
2019,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of poor population receiving social assistance cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,2.5
