Year,OBS_STATUS,COMMENT_OBS,Sex,Occupation,Observation status,Observation-level footnotes,Value
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),50.13
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),100.1
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,Armed forces occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),81.3
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),,Armed forces occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),391.67
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),286.49
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),481.8
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),174.49
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),244.42
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),81.98
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),242.21
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),67.02
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),270.65
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),29.08
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),62.38
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),14.91
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),29.42
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,Craft and related trades workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,34.34
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),47.3
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),62.81
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),21.22
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),29.36
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,,Not elsewhere classified,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,9.4
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),47.87
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Female,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),94.77
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,Armed forces occupations,Low reliability,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),69.44
2019,U,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Female,Armed forces occupations,Low reliability,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),634.0
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),248.52
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Female,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),332.35
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),182.07
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Female,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),210.84
2006,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES) | Break in series: Methodology revised,Female,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),75.91
2019,A,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),Female,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Local currency: KEN - Kenyan shilling(KES),157.87
