Year,Sex,Age,Value
2013,,15 to 49 years old,2.36
2014,,15 to 49 years old,2.17
2015,,15 to 49 years old,1.96
2016,,15 to 49 years old,1.69
2017,,15 to 49 years old,1.48
2018,,15 to 49 years old,1.29
2019,,15 to 49 years old,1.23
2020,,15 to 49 years old,1.15
2000,Female,,5.28
2001,Female,,4.79
2002,Female,,4.37
2003,Female,,4.07
2004,Female,,3.75
2005,Female,,3.48
2006,Female,,3.26
2007,Female,,3.01
2008,Female,,2.68
2009,Female,,2.55
2010,Female,,2.34
2011,Female,,2.08
2012,Female,,1.97
2013,Female,,1.85
2014,Female,,1.7
2015,Female,,1.49
2016,Female,,1.32
2017,Female,,1.19
2018,Female,,1.04
2019,Female,,1.0
2020,Female,,0.95
2000,Female,50 years old and over,2.29
2001,Female,50 years old and over,2.04
2002,Female,50 years old and over,1.83
2003,Female,50 years old and over,1.69
2004,Female,50 years old and over,1.56
2005,Female,50 years old and over,1.45
2006,Female,50 years old and over,1.39
2007,Female,50 years old and over,1.29
2008,Female,50 years old and over,1.25
2009,Female,50 years old and over,1.19
2010,Female,50 years old and over,1.12
2011,Female,50 years old and over,1.03
2012,Female,50 years old and over,0.95
2013,Female,50 years old and over,0.9
2014,Female,50 years old and over,0.84
2015,Female,50 years old and over,0.76
2016,Female,50 years old and over,0.66
2017,Female,50 years old and over,0.57
2018,Female,50 years old and over,0.49
2019,Female,50 years old and over,0.47
2020,Female,50 years old and over,0.44
2000,Female,15 to 24 years old,9.59
2001,Female,15 to 24 years old,8.5
2002,Female,15 to 24 years old,7.61
2003,Female,15 to 24 years old,7.04
2004,Female,15 to 24 years old,6.5
2005,Female,15 to 24 years old,6.11
2006,Female,15 to 24 years old,5.83
2007,Female,15 to 24 years old,5.45
2008,Female,15 to 24 years old,5.24
2009,Female,15 to 24 years old,4.98
2010,Female,15 to 24 years old,4.68
2011,Female,15 to 24 years old,4.33
2012,Female,15 to 24 years old,4.0
2013,Female,15 to 24 years old,3.78
2014,Female,15 to 24 years old,3.52
2015,Female,15 to 24 years old,3.21
2016,Female,15 to 24 years old,2.78
2017,Female,15 to 24 years old,2.45
2018,Female,15 to 24 years old,2.14
2019,Female,15 to 24 years old,2.06
2020,Female,15 to 24 years old,1.93
2000,Female,15 to 49 years old,7.78
2001,Female,15 to 49 years old,6.92
2002,Female,15 to 49 years old,6.22
2003,Female,15 to 49 years old,5.77
2004,Female,15 to 49 years old,5.34
2005,Female,15 to 49 years old,5.05
2006,Female,15 to 49 years old,4.82
2007,Female,15 to 49 years old,4.51
2008,Female,15 to 49 years old,4.33
2009,Female,15 to 49 years old,4.11
2010,Female,15 to 49 years old,3.84
2011,Female,15 to 49 years old,3.54
2012,Female,15 to 49 years old,3.25
2013,Female,15 to 49 years old,3.06
2014,Female,15 to 49 years old,2.84
2015,Female,15 to 49 years old,2.58
2016,Female,15 to 49 years old,2.25
2017,Female,15 to 49 years old,2.0
2018,Female,15 to 49 years old,1.76
2019,Female,15 to 49 years old,1.69
2020,Female,15 to 49 years old,1.58
2000,Male,,3.84
2001,Male,,3.5
2002,Male,,3.2
2003,Male,,2.98
2004,Male,,2.74
2005,Male,,2.52
2006,Male,,2.34
2007,Male,,2.14
2008,Male,,1.85
2009,Male,,1.75
2010,Male,,1.6
2011,Male,,1.36
2012,Male,,1.27
2013,Male,,1.17
2014,Male,,1.04
2015,Male,,0.87
2016,Male,,0.75
2017,Male,,0.67
2018,Male,,0.57
2019,Male,,0.54
2020,Male,,0.5
2000,Male,50 years old and over,1.57
2001,Male,50 years old and over,1.4
2002,Male,50 years old and over,1.26
2003,Male,50 years old and over,1.17
2004,Male,50 years old and over,1.08
2005,Male,50 years old and over,1.02
2006,Male,50 years old and over,0.96
2007,Male,50 years old and over,0.9
2008,Male,50 years old and over,0.86
2009,Male,50 years old and over,0.81
2010,Male,50 years old and over,0.76
2011,Male,50 years old and over,0.68
2012,Male,50 years old and over,0.6
2013,Male,50 years old and over,0.54
2014,Male,50 years old and over,0.49
2015,Male,50 years old and over,0.43
2016,Male,50 years old and over,0.37
2017,Male,50 years old and over,0.31
2018,Male,50 years old and over,0.27
2019,Male,50 years old and over,0.25
2020,Male,50 years old and over,0.23
2000,Male,15 to 24 years old,3.93
2001,Male,15 to 24 years old,3.49
2002,Male,15 to 24 years old,3.12
2003,Male,15 to 24 years old,2.88
2004,Male,15 to 24 years old,2.66
2005,Male,15 to 24 years old,2.49
2006,Male,15 to 24 years old,2.36
2007,Male,15 to 24 years old,2.2
2008,Male,15 to 24 years old,2.12
2009,Male,15 to 24 years old,2.01
2010,Male,15 to 24 years old,1.9
2011,Male,15 to 24 years old,1.7
2012,Male,15 to 24 years old,1.52
2013,Male,15 to 24 years old,1.39
2014,Male,15 to 24 years old,1.26
2015,Male,15 to 24 years old,1.12
2016,Male,15 to 24 years old,0.94
2017,Male,15 to 24 years old,0.8
2018,Male,15 to 24 years old,0.67
2019,Male,15 to 24 years old,0.63
2020,Male,15 to 24 years old,0.58
2000,Male,15 to 49 years old,4.62
2001,Male,15 to 49 years old,4.11
2002,Male,15 to 49 years old,3.69
2003,Male,15 to 49 years old,3.43
2004,Male,15 to 49 years old,3.17
2005,Male,15 to 49 years old,3.01
2006,Male,15 to 49 years old,2.88
2007,Male,15 to 49 years old,2.7
2008,Male,15 to 49 years old,2.6
2009,Male,15 to 49 years old,2.46
2010,Male,15 to 49 years old,2.31
2011,Male,15 to 49 years old,2.06
2012,Male,15 to 49 years old,1.84
2013,Male,15 to 49 years old,1.68
2014,Male,15 to 49 years old,1.51
2015,Male,15 to 49 years old,1.34
2016,Male,15 to 49 years old,1.14
2017,Male,15 to 49 years old,0.98
2018,Male,15 to 49 years old,0.83
2019,Male,15 to 49 years old,0.78
2020,Male,15 to 49 years old,0.72
