Value,Disaggregation combinations using this value,Number of indicators
African Development Bank Group Annual Report 2000,4,2
African Development Bank Group Annual Report 2005,4,2
African Development Bank Group Annual Report 2010,4,2
African Development Bank Group Annual Report 2014,4,2
African Development Bank Group Annual Report 2015,4,2
African Development Bank Group Annual Report 2016,4,2
African Development Bank Group Annual Report 2017,4,2
African Development Bank Group Annual Report 2018,4,2
African Development Bank Group Annual Report 2019,4,2
Agence de Régulation des Télécommunications et des Postes (ARTP),2,2
Agence de Régulation des Télécommunications.,1,1
"Agence Nationale de la Statistique et de la Démographie (ANSD) [Sénégal], ICF International. Enquête Démographique et de Santé Continue (EDS-Continue 2012-2013). Calverton, Maryland, USA: ANSD, ICF International; 2013 (in French).",1,1
"Agence Nationale de la Statistique et de la Démographie (ANSD) [Sénégal], ICF International. Enquête Démographique et de Santé à Indicateurs Multiples au Sénégal (EDS-MICS) 2010-2011. Calverton, Maryland, USA: ANSD, ICF International; 2012 (in French).",1,1
"Agence Nationale de la Statistique et de la Démographie (ANSD) [Sénégal], ICF International. Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2014). Rockville, Maryland, USA : ANSD, ICF International; 2015 (in French).",1,1
"Agence Nationale de la Statistique et de la Démographie (ANSD) [Sénégal], ICF. Sénégal: Enquête Démographique et de Santé Continue (EDS-Continue) 2016. Rockville, Maryland, USA: ANSD, ICF; 2017 (in French).",1,1
"Agence Nationale de la Statistique et de la Démographie (ANSD) [Sénégal], ICF. Sénégal: Enquête Démographique et de Santé Continue 2015 (EDS-Continue). Rockville, Maryland, USA : ANSD, ICF; 2016 (in French).",1,1
Annuaire Statistique 2012 (https://education.sn/sites/default/files/2019-07/ANNUAIRE%202012.pdf); Data extracted on 01 April 2022.,2,1
Annuaire Statistique 2013 (https://education.sn/sites/default/files/2019-07/ANNUAIRE%202013%20l.pdf); Data extracted on 01 April 2022.,2,1
Annuaire Statistique 2014 (https://education.sn/sites/default/files/2019-07/ANNUAIRE%20%202014.pdf); Data extracted on 01 April 2022.,2,1
ARTP Sénégal,1,1
ARTP,16,2
"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",6,1
Autorité de Régulation des Télécommunications et des Postes (ARTP),8,2
CHM / WESR ,2,1
Compiled by UNECA African Centre for Statistics and UN Women,1,1
CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2 Data extracted on 01 April 2022.,3,1
CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 2. Grade 2,3,1
CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 2 Data extracted on 01 April 2022.,6,1
CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 2,6,1
CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6 Data extracted on 01 April 2022.,4,1
CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6,6,1
CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6 Data extracted on 01 April 2022.,4,1
CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6,3,1
DAD-IS 21.11.2022 http://www.fao.org/dad-is/,2,1
DAD-IS 28.11.2022 http://www.fao.org/dad-is/,2,1
"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",9,2
Data from FAOSTAT extracted 20220110,2,1
Data gathered as a result of a survey,2,1
Data gathered from the latest version of NBSAP,2,1
"Data gathered through a literature search (primary sources ECOLEX, FAOLEX) and consultation with country experts",1,1
"DHS 2011. UNFPA Global Database, 2022.",4,1
"DHS Continuous 2015. UNFPA Global Database, 2022.",4,1
"DHS Continuous 2016. UNFPA Global Database, 2022.",4,1
"DHS Continuous 2017. UNFPA Global Database, 2022.",4,1
"Enqeute SMART Nationale SMART 2012. Dakar, Senegal: CLM, 2013 ",2,1
EnquÃªte de Suivi de la PauvretÃ© au SÃ©nÃ©gal 2011,3,1
EnquÃƒÂªte de Suivi de la PauvretÃƒÂ© au SÃƒÂ©nÃƒÂ©gal 2011,3,1
"Enquête Continue du Sénégal, Cinquième Phase 2017 : Rapport de synthèse. Rockville, Maryland, USA : ANSD et ICF",2,1
"Enquête démographique et de santé au Sénégal 2005. Demographic and Health Surveys. Calverton, Maryland, USA : Centre de Recherche pour le Développement Humain [Sénégal] et ORC Macro, 2006",2,1
"Enquête démographique et de santé continue (EDS-Continue 2012-2013). Demographic and Health Surveys. Calverton, Maryland, USA: ANSD et ICF International., 2013 ",2,1
"Enquête démographique et de santé à indicateurs multiples au Sénégal (EDS-MICS) 2010-2011. Demographic and Health Surveys and MICS. Calverton, Maryland, USA: ANSD et ICF International, 2012",2,1
Environment Live,4,1
Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,9,1
FAO calculation based on UNSD national account estimates,1,1
FAO calculation based on WB national account data,1,1
FAO estimate based on FAOSTAT data from 2019,1,1
"FAO, Global Forest Resources Assessment and FAOSTAT",1,1
"FAO, Global Forest Resources Assessment",5,2
FAO-WIEWS (http://www.fao.org/wiews),4,1
FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,1,1
Food and Agriculture Organization of the United Nations (FAO),48,1
Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,4,1
Global Model for Monitoring Marine Litter,5,1
Global Surface Water Explorer extraction for UN Environment Programme,34,1
HIES - Harmonized Survey on Household Living Conditions,9,1
https://absch.cbd.int/countries,1,1
"https://www.cbd.int/abs/nagoya-protocol/signatories/default.shtml, Access and Benefit-sharing Clearing-house https://absch.cbd.int/, http://www.fao.org/plant-treaty/countries/membership/en/,  The Online Reporting System on Compliance of the International ",1,1
ICAO,2,1
"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",3,1
IFC 2000 Annual Report Volume 2,4,2
IFC 2005 Annual Report Volume 2,4,2
IFC 2010 Annual Report Volume 2,4,2
IFC 2015 Annual Report Volume 2,4,2
IFC 2016 Annual Report Volume 2,4,2
IFC 2017 Annual Report Volume 2,4,2
IFC 2018 Annual Report Volume 2,4,2
IFC 2019 Annual Report Volume 2,4,2
IFC 2020 Annual Report Volume 2,4,2
IFC 2021 Annual Report Volume 2,4,2
IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,16,1
IHR National Self-Assessment and reports received and registered at WHO e-SPAR database (https://extranet.who.int/e-spar/ ).,41,1
IMF Annual Report 2000,4,2
IMF Annual Report 2005,4,2
IMF Annual Report 2010,4,2
IMF Annual Report 2015,4,2
IMF Annual Report 2016,4,2
IMF Annual Report 2017,4,2
IMF Annual Report 2018,4,2
IMF Annual Report 2019,4,2
IMF Annual Report 2020,4,2
IMF Annual Report 2021,4,2
IMF data and FAO Imputation. UNSD national account estimates,1,1
IMF data and FAO Imputation.,1,1
IMF data and Official country publications. UNSD national account estimates.,1,1
IMF data and Official country publications.,1,1
"Inter-Parliamentary Union (IPU), Parline Database",3,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",2,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed Jan 1 of given year for annual data.",1,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.",1,1
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2010",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2015",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2017",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2018",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2019 ",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2020",4,2
