Year,COMMENT_OBS,SOURCE_DETAIL,Sex,Age,Value
2006,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: HIES - Household Budget Survey,,15 years old and over,10.0
2009,,Source: PC - Population Census,,15 years old and over,9.6
2016,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,,15 years old and over,2.8
2019,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,,15 years old and over,5.0
2006,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: HIES - Household Budget Survey,,25 years old and over,6.9
2016,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,,25 years old and over,1.6
2019,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,,25 years old and over,3.4
2006,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: HIES - Household Budget Survey,,15 to 24 years old,19.7
2016,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,,15 to 24 years old,7.4
2019,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,,15 to 24 years old,12.9
2006,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: HIES - Household Budget Survey,Female,15 years old and over,10.1
2009,,Source: PC - Population Census,Female,15 years old and over,9.4
2016,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Female,15 years old and over,2.9
2019,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Female,15 years old and over,5.3
2006,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: HIES - Household Budget Survey,Female,25 years old and over,6.9
2016,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Female,25 years old and over,1.8
2019,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Female,25 years old and over,3.5
2006,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: HIES - Household Budget Survey,Female,15 to 24 years old,20.6
2016,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Female,15 to 24 years old,7.4
2019,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Female,15 to 24 years old,13.8
2006,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: HIES - Household Budget Survey,Male,15 years old and over,9.8
2009,,Source: PC - Population Census,Male,15 years old and over,9.9
2016,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Male,15 years old and over,2.6
2019,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Male,15 years old and over,4.8
2006,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: HIES - Household Budget Survey,Male,25 years old and over,6.8
2016,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Male,25 years old and over,1.3
2019,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Male,25 years old and over,3.2
2006,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: HIES - Household Budget Survey,Male,15 to 24 years old,18.9
2016,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Male,15 to 24 years old,7.3
2019,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Household Budget Survey,Male,15 to 24 years old,12.0
