Year,SDG Series,Value
2010,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",3.99315
2011,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.67494
2012,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.98358
2013,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.94803
2014,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",5.1087
2015,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",5.52141
2016,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",5.70103
2017,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",5.70117
2018,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",5.52714
2019,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",6.09768
2020,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",6.41877
2004,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.01237
2005,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.54856
2006,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.96295
2007,"Number of commercial bank branches per 100,000 adults [8.10.1]",3.14082
2008,"Number of commercial bank branches per 100,000 adults [8.10.1]",3.80863
2009,"Number of commercial bank branches per 100,000 adults [8.10.1]",3.99173
2010,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.24447
2011,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.55263
2012,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.78529
2013,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.70384
2014,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.75896
2015,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.09668
2016,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.13564
2017,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.7583
2018,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.60468
2019,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.76488
2020,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.22241
