Year,SDG Series,Degree of urbanisation,Value
2000,Proportion of population practicing open defecation [6.2.1],,24
2001,Proportion of population practicing open defecation [6.2.1],,24
2002,Proportion of population practicing open defecation [6.2.1],,23
2003,Proportion of population practicing open defecation [6.2.1],,22
2004,Proportion of population practicing open defecation [6.2.1],,22
2005,Proportion of population practicing open defecation [6.2.1],,21
2006,Proportion of population practicing open defecation [6.2.1],,20
2007,Proportion of population practicing open defecation [6.2.1],,20
2008,Proportion of population practicing open defecation [6.2.1],,19
2009,Proportion of population practicing open defecation [6.2.1],,18
2010,Proportion of population practicing open defecation [6.2.1],,18
2011,Proportion of population practicing open defecation [6.2.1],,17
2012,Proportion of population practicing open defecation [6.2.1],,16
2013,Proportion of population practicing open defecation [6.2.1],,16
2014,Proportion of population practicing open defecation [6.2.1],,15
2015,Proportion of population practicing open defecation [6.2.1],,14
2016,Proportion of population practicing open defecation [6.2.1],,14
2017,Proportion of population practicing open defecation [6.2.1],,13
2018,Proportion of population practicing open defecation [6.2.1],,12
2019,Proportion of population practicing open defecation [6.2.1],,12
2020,Proportion of population practicing open defecation [6.2.1],,11
2000,Proportion of population practicing open defecation [6.2.1],Rural,38
2001,Proportion of population practicing open defecation [6.2.1],Rural,37
2002,Proportion of population practicing open defecation [6.2.1],Rural,37
2003,Proportion of population practicing open defecation [6.2.1],Rural,36
2004,Proportion of population practicing open defecation [6.2.1],Rural,35
2005,Proportion of population practicing open defecation [6.2.1],Rural,34
2006,Proportion of population practicing open defecation [6.2.1],Rural,33
2007,Proportion of population practicing open defecation [6.2.1],Rural,32
2008,Proportion of population practicing open defecation [6.2.1],Rural,31
2009,Proportion of population practicing open defecation [6.2.1],Rural,30
2010,Proportion of population practicing open defecation [6.2.1],Rural,29
2011,Proportion of population practicing open defecation [6.2.1],Rural,28
2012,Proportion of population practicing open defecation [6.2.1],Rural,28
2013,Proportion of population practicing open defecation [6.2.1],Rural,27
2014,Proportion of population practicing open defecation [6.2.1],Rural,26
2015,Proportion of population practicing open defecation [6.2.1],Rural,25
2016,Proportion of population practicing open defecation [6.2.1],Rural,24
2017,Proportion of population practicing open defecation [6.2.1],Rural,23
2018,Proportion of population practicing open defecation [6.2.1],Rural,22
2019,Proportion of population practicing open defecation [6.2.1],Rural,21
2020,Proportion of population practicing open defecation [6.2.1],Rural,20
2000,Proportion of population practicing open defecation [6.2.1],Urban,4
2001,Proportion of population practicing open defecation [6.2.1],Urban,4
2002,Proportion of population practicing open defecation [6.2.1],Urban,3
2003,Proportion of population practicing open defecation [6.2.1],Urban,3
2004,Proportion of population practicing open defecation [6.2.1],Urban,3
2005,Proportion of population practicing open defecation [6.2.1],Urban,3
2006,Proportion of population practicing open defecation [6.2.1],Urban,3
2007,Proportion of population practicing open defecation [6.2.1],Urban,3
2008,Proportion of population practicing open defecation [6.2.1],Urban,3
2009,Proportion of population practicing open defecation [6.2.1],Urban,3
2010,Proportion of population practicing open defecation [6.2.1],Urban,3
