Year,SDG Series,Unit of measure,UPPER_BOUND,LOWER_BOUND,Upper bound value,Lower bound value,Value
2021,Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) [14.5.1],Percent,,,,,1.84538
2021,Protected marine area (Exclusive Economic Zones) (square kilometres) [14.5.1],Square kilometers,,,,,2923.56737
2000,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,27.3803,26.4328,36.6632,36.6632,26.96154
2001,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,27.6283,26.5898,36.6632,36.6632,27.20729
2002,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,27.6283,26.5898,36.6632,36.6632,27.20729
2003,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,27.6283,26.5898,36.6632,36.6632,27.20729
2004,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,31.701,30.8429,36.6632,36.6632,31.56385
2005,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,31.701,30.8429,36.6632,36.6632,31.56385
2006,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,31.701,30.8429,36.6632,36.6632,31.56385
2007,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,31.701,30.8429,36.6632,36.6632,31.56385
2008,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,31.701,30.8429,36.6632,36.6632,31.56385
2009,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,31.701,30.8429,36.6632,36.6632,31.56385
2010,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,31.701,30.8429,36.6632,36.6632,31.56385
2011,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,31.701,30.8429,36.6632,36.6632,31.56385
2012,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,31.701,30.8429,36.6632,36.6632,31.56385
2013,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,31.701,30.8429,36.6632,36.6632,31.56385
2014,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,33.3138,32.4567,36.6632,36.6632,33.22052
2015,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,33.3138,32.4567,36.6632,36.6632,33.22052
2016,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,33.3138,32.4567,36.6632,36.6632,33.22052
2017,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,36.2886,35.8208,36.6632,36.6632,36.28856
2018,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,36.2886,35.8208,36.6632,36.6632,36.28856
2019,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,36.2886,35.8208,36.6632,36.6632,36.28856
2020,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,36.6632,36.6632,36.6632,36.6632,36.66316
2021,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas [14.5.1],Percent,36.6632,36.6632,36.6632,36.6632,36.66316
