Year,SDG Series,Value
2000,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],82
2001,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],80
2002,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],84
2003,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],73
2004,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],73
2005,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],76
2006,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],80
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],81
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],88
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],88
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],90
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],96
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],94
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],87
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],92
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],89
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],89
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],82
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],92
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],91
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],89
2020,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) [3.b.1]",16
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],28
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],32
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],35
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],45
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],49
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],49
2011,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],85
2012,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],82
2013,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],75
2014,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],81
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],75
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],78
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],82
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],92
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],91
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],90
