Year,NATURE,Degree of urbanisation,Value
2000,C,,37.74
2001,M,,38.75762
2002,C,,36.8
2003,M,,41.96413
2004,C,,36.8
2005,C,,47.1
2006,C,,49.9
2007,M,,48.36181
2008,M,,49.97265
2009,C,,53.5
2010,C,,56.5
2011,C,,56.5
2012,C,,56.5
2013,C,,57.0
2014,C,,61.0
2015,C,,60.5
2016,C,,64.5
2017,C,,61.7
2018,C,,66.0
2019,C,,70.4
2020,M,,70.36894
2000,M,Rural,12.81024
2001,M,Rural,15.10271
2002,M,Rural,11.2507
2003,M,Rural,18.61033
2004,M,Rural,8.64726
2005,M,Rural,23.26793
2006,M,Rural,25.37207
2007,M,Rural,24.79219
2008,M,Rural,26.33427
2009,M,Rural,30.61138
2010,M,Rural,35.16051
2011,M,Rural,31.71887
2012,M,Rural,32.569
2013,M,Rural,31.78065
2014,M,Rural,41.01495
2015,M,Rural,38.13573
2016,M,Rural,44.50024
2017,M,Rural,35.37255
2018,M,Rural,41.42455
2019,M,Rural,47.82384
2020,M,Rural,47.35753
2000,C,Urban,74.64
2001,M,Urban,73.56185
2002,C,Urban,74.16916
2003,M,Urban,75.7129
2004,M,Urban,76.8038
2005,C,Urban,80.4
2006,C,Urban,83.6
2007,M,Urban,80.20448
2008,M,Urban,81.37509
2009,C,Urban,83.4
2010,M,Urban,83.91086
2011,C,Urban,87.8
2012,M,Urban,86.22234
2013,C,Urban,87.8
2014,C,Urban,85.0
2015,C,Urban,86.9
2016,C,Urban,87.7
2017,C,Urban,91.7
2018,C,Urban,93.5
2019,C,Urban,95.2
2020,M,Urban,95.17643
