Year,SDG Series,Type of product,Unit of measure,COMMENT_OBS,Observation-level footnotes,BASE_PER,Base period,Value
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.94732
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.06603
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.72721
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.30859
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.2073
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.32724
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.91909
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.1257
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.39943
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.50191
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.53587
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.0113
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.32733
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.50548
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.99725
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.10311
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.02201
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.11871
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.66267
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.53004
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.09818
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.23224
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.2107
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.42657
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.47317
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.49889
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.57795
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.78053
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.6358
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.64358
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.73258
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.53601
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.47277
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.98547
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.61023
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.39489
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.418
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.4806
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.90876
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.89205
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.20279
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.21063
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.18404
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.20796
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.22193
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.20087
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.08701
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.10916
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.06268
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.1099
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.13132
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.19413
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.32694
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.12943
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.051
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.10201
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.18236
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.16939
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.19503
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.17453
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.51889
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.48587
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.18915
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.51145
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.35134
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.48312
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.18106
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.10625
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.56603
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.47063
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.42995
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.04104
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.20837
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.08498
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.02974
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.29629
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.08187
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.11132
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.03794
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,1.9798
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.45928
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.46238
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.38783
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.51378
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.47889
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.53043
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.41581
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.43233
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.61291
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.54736
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.54625
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.41549
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.49629
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.4591
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.46495
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.56845
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.48363
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.53485
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.50266
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.46745
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.52422
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.48926
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.32566
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.54072
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.4465
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.54119
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.38064
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.30273
