Year,OBS_STATUS,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Disability status,Source details,Value
2002,A,Age coverage - minimum age: 10 years old,Source: HS - Household Survey,Unemployment rate [8.5.2],,15 years old and over,,Source: LFS - National Employment Survey,5.7
2006,A,,Source: HS - Survey To Monitor Poverty,Unemployment rate [8.5.2],,15 years old and over,,Source: LFS - National Employment Survey,10.0
2011,A,Data reference period: May,Source: HS - Survey To Monitor Poverty,Unemployment rate [8.5.2],,15 years old and over,,Source: LFS - National Employment Survey,10.4
2015,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,15 years old and over,,Source: LFS - National Employment Survey,6.8
2016,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,15 years old and over,,Source: LFS - National Employment Survey,4.5
2017,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,15 years old and over,,Source: LFS - National Employment Survey,4.1
2018,A,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Harmonized Survey on Household Living Conditions,Unemployment rate [8.5.2],,15 years old and over,,Source: LFS - National Employment Survey,3.6
2019,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,15 years old and over,,Source: LFS - National Employment Survey,2.9
2002,A,Age coverage - minimum age: 10 years old,Source: HS - Household Survey,Unemployment rate [8.5.2],,25 years old and over,,Source: LFS - National Employment Survey,4.3
2006,A,,Source: HS - Survey To Monitor Poverty,Unemployment rate [8.5.2],,25 years old and over,,Source: LFS - National Employment Survey,8.1
2011,A,Data reference period: May,Source: HS - Survey To Monitor Poverty,Unemployment rate [8.5.2],,25 years old and over,,Source: LFS - National Employment Survey,9.6
2015,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,25 years old and over,,Source: LFS - National Employment Survey,6.4
2016,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,25 years old and over,,Source: LFS - National Employment Survey,3.9
2017,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,25 years old and over,,Source: LFS - National Employment Survey,3.7
2018,A,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Harmonized Survey on Household Living Conditions,Unemployment rate [8.5.2],,25 years old and over,,Source: LFS - National Employment Survey,3.1
2019,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,25 years old and over,,Source: LFS - National Employment Survey,2.6
2002,A,Age coverage - minimum age: 10 years old,Source: HS - Household Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Source: LFS - National Employment Survey,8.6
2006,A,,Source: HS - Survey To Monitor Poverty,Unemployment rate [8.5.2],,15 to 24 years old,,Source: LFS - National Employment Survey,14.8
2011,A,Data reference period: May,Source: HS - Survey To Monitor Poverty,Unemployment rate [8.5.2],,15 to 24 years old,,Source: LFS - National Employment Survey,12.7
2015,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Source: LFS - National Employment Survey,8.1
2016,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Source: LFS - National Employment Survey,6.4
2017,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Source: LFS - National Employment Survey,5.8
2018,A,Repository: ILO-STATISTICS - Micro data processing,Source: HIES - Harmonized Survey on Household Living Conditions,Unemployment rate [8.5.2],,15 to 24 years old,,Source: LFS - National Employment Survey,6.0
2019,A,Repository: ILO-STATISTICS - Micro data processing,Source: LFS - National Employment Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Source: LFS - National Employment Survey,4.1
2006,A,,Source: HS - Survey To Monitor Poverty,Unemployment rate [8.5.2],Female,15 years old and over,,Source: LFS - National Employment Survey,13.6
