Year,BASE_PER,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Degree of urbanisation,Base period,Nature of data points,Observation-level footnotes,Source details,Value
1991,2017,G,"Accessed September 14, 2022. Based on data from EP. Estimated from grouped consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from EHCVM. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",70.1
1994,2017,G,"Accessed September 14, 2022. Based on data from ESAM. Estimated from grouped consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from EHCVM. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",60.3
2001,2017,G,"Accessed September 14, 2022. Based on data from ESAM-II. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from EHCVM. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",52.4
2005,2017,G,"Accessed September 14, 2022. Based on data from ESPS-I. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from EHCVM. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",41.1
2011,2017,G,"Accessed September 14, 2022. Based on data from ESPS-II. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from EHCVM. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",41.0
2018,2017,G,"Accessed September 14, 2022. Based on data from EHCVM. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from EHCVM. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",9.3
2018,2017,G,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Rural,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",15.13168
2018,2017,G,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Urban,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",2.75119
2018,2017,G,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,65 years old and over,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",6.63446
2018,2017,G,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,under 15 years old,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",10.70388
2018,2017,G,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,15 to 64 years old,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",7.11216
2018,2017,G,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],Female,,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",9.37632
2018,2017,G,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],Male,,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",9.2886
2000,,M,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",Employed population below international poverty line [1.1.1],,15 years old and over,,,Modeled,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",52.7
2001,,E,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",Employed population below international poverty line [1.1.1],,15 years old and over,,,Modeled,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",51.0
2002,,M,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",Employed population below international poverty line [1.1.1],,15 years old and over,,,Modeled,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",50.7
