Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Sex,Unit of measure,Upper bound value,Lower bound value,Value
2000,12.2,4.7,Suicide mortality rate [3.4.2],,"Per 100,000 population",9.5,3.5,7.8
2005,10.9,4.5,Suicide mortality rate [3.4.2],,"Per 100,000 population",9.5,3.5,7.2
2010,10.1,4.1,Suicide mortality rate [3.4.2],,"Per 100,000 population",9.5,3.5,6.6
2015,9.9,3.9,Suicide mortality rate [3.4.2],,"Per 100,000 population",9.5,3.5,6.4
2019,9.5,3.5,Suicide mortality rate [3.4.2],,"Per 100,000 population",9.5,3.5,6.0
2000,6.4,2.3,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",4.8,1.7,4.0
2005,6,2.3,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",4.8,1.7,3.8
2010,5.4,2,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",4.8,1.7,3.4
2015,5.3,2,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",4.8,1.7,3.3
2019,4.8,1.7,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",4.8,1.7,3.0
2000,18.2,7.1,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",14.4,5.3,11.8
2005,16.1,6.8,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",14.4,5.3,10.8
2010,15.1,6.2,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",14.4,5.3,9.9
2015,14.7,5.9,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",14.4,5.3,9.5
2019,14.4,5.3,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",14.4,5.3,9.2
2000,1197,457,Number of deaths attributed to suicide [3.4.2],,Number,1547,565,768.0
2005,1208,497,Number of deaths attributed to suicide [3.4.2],,Number,1547,565,797.0
2010,1285,514,Number of deaths attributed to suicide [3.4.2],,Number,1547,565,832.0
2015,1445,563,Number of deaths attributed to suicide [3.4.2],,Number,1547,565,927.0
2019,1547,565,Number of deaths attributed to suicide [3.4.2],,Number,1547,565,978.0
2000,319,115,Number of deaths attributed to suicide [3.4.2],Female,Number,401,141,199.0
2005,338,128,Number of deaths attributed to suicide [3.4.2],Female,Number,401,141,215.0
2010,351,133,Number of deaths attributed to suicide [3.4.2],Female,Number,401,141,223.0
2015,400,147,Number of deaths attributed to suicide [3.4.2],Female,Number,401,141,250.0
2019,401,141,Number of deaths attributed to suicide [3.4.2],Female,Number,401,141,250.0
2000,878,342,Number of deaths attributed to suicide [3.4.2],Male,Number,1146,424,569.0
2005,870,369,Number of deaths attributed to suicide [3.4.2],Male,Number,1146,424,583.0
2010,934,382,Number of deaths attributed to suicide [3.4.2],Male,Number,1146,424,609.0
2015,1045,416,Number of deaths attributed to suicide [3.4.2],Male,Number,1146,424,677.0
2019,1146,424,Number of deaths attributed to suicide [3.4.2],Male,Number,1146,424,728.0
