Year,NATURE,SOURCE_DETAIL,SDG Series,COMMENT_OBS,Observation-level footnotes,Value
2004,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Proportion of population covered by at least a 2G mobile network [9.c.1],,,52.0
2005,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Proportion of population covered by at least a 2G mobile network [9.c.1],,,62.0
2006,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Proportion of population covered by at least a 2G mobile network [9.c.1],,,65.0
2007,C,Communication Commission of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],,,77.0
2008,C,Communication Commission of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],,,83.0
2009,C,Communication Commission of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],,,84.5
2010,C,Communications Commission of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],,,89.0
2011,C,Communications Commission of Kenya-ITU1,Proportion of population covered by at least a 2G mobile network [9.c.1],,,89.1
2012,C,Communications Commission of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],,,89.08
2013,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],,,89.08
2014,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],,,89.08
2015,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],,,92.0
2016,C,COMMUNICATIONS AUTHORITY OF KENYA,Proportion of population covered by at least a 2G mobile network [9.c.1],,,94.4
2017,C,COMMUNICATIONS AUTHORITY OF KENYA,Proportion of population covered by at least a 2G mobile network [9.c.1],,,95.3
2018,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],,,96.0
2019,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],,,96.3
2020,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],,,96.3
2014,E,ITU estimate,Proportion of population covered by at least a 3G mobile network [9.c.1],ITU estimate,2G Population coverage is 95.4,50.0
2015,C,Communications Authority  of Kenya,Proportion of population covered by at least a 3G mobile network [9.c.1],,2G Population coverage is 95.4,69.0
2016,C,COMMUNICATIONS AUTHORITY OF KENYA,Proportion of population covered by at least a 3G mobile network [9.c.1],,2G Population coverage is 95.4,78.0
2017,C,COMMUNICATIONS AUTHORITY OF KENYA,Proportion of population covered by at least a 3G mobile network [9.c.1],2G Population coverage is 95.4,2G Population coverage is 95.4,85.0
2018,C,Communications Authority  of Kenya,Proportion of population covered by at least a 3G mobile network [9.c.1],,2G Population coverage is 95.4,86.0
2019,C,Communications Authority  of Kenya,Proportion of population covered by at least a 3G mobile network [9.c.1],,2G Population coverage is 95.4,93.3
2020,C,Communications Authority  of Kenya,Proportion of population covered by at least a 3G mobile network [9.c.1],,2G Population coverage is 95.4,94.0
2014,E,ITU estimate,Proportion of population covered by at least a 4G mobile network [9.c.1],Obs_Value = 0;  ITU estimate,ITU estimate,0.0
2015,E,ITU estimate,Proportion of population covered by at least a 4G mobile network [9.c.1],ITU estimate,ITU estimate,7.0
2016,C,COMMUNICATIONS AUTHORITY OF KENYA,Proportion of population covered by at least a 4G mobile network [9.c.1],,ITU estimate,21.5
2017,C,COMMUNICATIONS AUTHORITY OF KENYA,Proportion of population covered by at least a 4G mobile network [9.c.1],,ITU estimate,25.0
2018,C,Communications Authority  of Kenya,Proportion of population covered by at least a 4G mobile network [9.c.1],,ITU estimate,35.0
2019,C,Communications Authority  of Kenya,Proportion of population covered by at least a 4G mobile network [9.c.1],,ITU estimate,57.0
2020,C,Communications Authority  of Kenya,Proportion of population covered by at least a 4G mobile network [9.c.1],,ITU estimate,77.0
