Year,SDG Series,Unit of measure,Value
2005,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,0
2006,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,0
2007,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,0
2008,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,0
2009,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,0
2010,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,0
2011,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,0
2012,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,0
2013,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,0
2014,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,0
2015,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,0
2005,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,0
2006,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,0
2007,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,0
2008,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,0
2009,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,0
2010,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,0
2011,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,0
2012,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,0
2013,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,0
2014,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,0
2015,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,0
2005,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,0
2006,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,0
2007,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,0
2008,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,0
2009,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,0
2010,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,0
2011,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,0
2012,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,0
2013,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,0
2014,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,0
2015,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,0
2005,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,0
2006,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,0
2007,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,0
2008,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,0
2009,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,0
2010,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,0
2011,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,0
2012,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,0
2013,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,0
2014,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,0
2015,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,0
2005,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,0
2006,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,0
2007,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,0
2008,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,0
2009,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,0
