Year,Economic activity,Value
2000,,13.28927
2001,,12.36027
2002,,11.04983
2003,,10.26365
2004,,10.15909
2005,,10.38663
2006,,10.60129
2007,,10.78644
2008,,10.23276
2009,,10.04437
2010,,10.25027
2011,,10.76894
2012,,11.31468
2013,,11.92827
2014,,12.45587
2015,,12.80492
2016,,10.76584
2017,,10.59709
2018,,11.34123
2019,,11.91637
2000,Agriculture (ISIC4 A01 A0210 A0322),0.18788
2001,Agriculture (ISIC4 A01 A0210 A0322),0.14831
2002,Agriculture (ISIC4 A01 A0210 A0322),0.11869
2003,Agriculture (ISIC4 A01 A0210 A0322),0.10584
2004,Agriculture (ISIC4 A01 A0210 A0322),0.10985
2005,Agriculture (ISIC4 A01 A0210 A0322),0.11754
2006,Agriculture (ISIC4 A01 A0210 A0322),0.12631
2007,Agriculture (ISIC4 A01 A0210 A0322),0.13988
2008,Agriculture (ISIC4 A01 A0210 A0322),0.15586
2009,Agriculture (ISIC4 A01 A0210 A0322),0.16907
2010,Agriculture (ISIC4 A01 A0210 A0322),0.19948
2011,Agriculture (ISIC4 A01 A0210 A0322),0.21333
2012,Agriculture (ISIC4 A01 A0210 A0322),0.2182
2013,Agriculture (ISIC4 A01 A0210 A0322),0.23736
2014,Agriculture (ISIC4 A01 A0210 A0322),0.25958
2015,Agriculture (ISIC4 A01 A0210 A0322),0.30179
2016,Agriculture (ISIC4 A01 A0210 A0322),0.19403
2017,Agriculture (ISIC4 A01 A0210 A0322),0.22796
2018,Agriculture (ISIC4 A01 A0210 A0322),0.23726
2019,Agriculture (ISIC4 A01 A0210 A0322),0.25037
2000,Industries,53.53673
2001,Industries,54.16405
2002,Industries,53.86539
2003,Industries,54.90955
2004,Industries,58.39836
2005,Industries,62.82812
2006,Industries,63.41286
2007,Industries,66.53024
2008,Industries,61.21485
2009,Industries,61.36768
2010,Industries,64.87794
2011,Industries,70.75849
2012,Industries,72.01719
2013,Industries,73.69538
2014,Industries,75.72201
2015,Industries,77.44688
2016,Industries,34.21764
2017,Industries,33.69304
2018,Industries,34.86165
2019,Industries,36.22605
2000,Services (G to T),33.95509
2001,Services (G to T),36.93022
2002,Services (G to T),37.33266
2003,Services (G to T),38.58615
2004,Services (G to T),32.55238
2005,Services (G to T),29.38063
2006,Services (G to T),27.5787
2007,Services (G to T),25.81916
2008,Services (G to T),23.23015
2009,Services (G to T),21.46677
2010,Services (G to T),20.65364
2011,Services (G to T),21.41889
2012,Services (G to T),22.75917
2013,Services (G to T),24.21635
2014,Services (G to T),25.3986
2015,Services (G to T),26.09599
2016,Services (G to T),65.47966
2017,Services (G to T),64.20457
2018,Services (G to T),69.48985
2019,Services (G to T),73.25378
