Year,SDG Series,Type of product,COMMENT_OBS,Observation-level footnotes,Value
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,6.17123
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,8.03052
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,9.12263
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,7.81226
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,12.64824
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,12.84998
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,11.23238
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,12.78071
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,16.32124
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,24.02406
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,24.45635
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,25.26085
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,36.25523
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,37.27802
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,30.6179
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,29.1809
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,24.77987
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,7.32023
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,3.28843
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,10.62921
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,21.07819
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,21.07819
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,22.26258
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,14.92442
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,25.02949
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,25.0093
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,25.01528
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,25.0
