Year,SDG Series,Value
2010,Amount of tracked exported Environmentally Sound Technologies [17.7.1],26213052
2011,Amount of tracked exported Environmentally Sound Technologies [17.7.1],22943897
2012,Amount of tracked exported Environmentally Sound Technologies [17.7.1],31040199
2013,Amount of tracked exported Environmentally Sound Technologies [17.7.1],26778612
2014,Amount of tracked exported Environmentally Sound Technologies [17.7.1],33135932
2015,Amount of tracked exported Environmentally Sound Technologies [17.7.1],20551096
2016,Amount of tracked exported Environmentally Sound Technologies [17.7.1],28512751
2017,Amount of tracked exported Environmentally Sound Technologies [17.7.1],26263583
2018,Amount of tracked exported Environmentally Sound Technologies [17.7.1],22841086
2019,Amount of tracked exported Environmentally Sound Technologies [17.7.1],23107204
2020,Amount of tracked exported Environmentally Sound Technologies [17.7.1],28407306
2010,Amount of tracked imported Environmentally Sound Technologies [17.7.1],192172137
2011,Amount of tracked imported Environmentally Sound Technologies [17.7.1],262643986
2012,Amount of tracked imported Environmentally Sound Technologies [17.7.1],319333488
2013,Amount of tracked imported Environmentally Sound Technologies [17.7.1],318159705
2014,Amount of tracked imported Environmentally Sound Technologies [17.7.1],288436646
2015,Amount of tracked imported Environmentally Sound Technologies [17.7.1],319307869
2016,Amount of tracked imported Environmentally Sound Technologies [17.7.1],378290996
2017,Amount of tracked imported Environmentally Sound Technologies [17.7.1],398862397
2018,Amount of tracked imported Environmentally Sound Technologies [17.7.1],354210007
2019,Amount of tracked imported Environmentally Sound Technologies [17.7.1],405755077
2020,Amount of tracked imported Environmentally Sound Technologies [17.7.1],455638749
