Year,NATURE,Degree of urbanisation,Value
2000,M,,15.13117
2001,M,,17.03308
2002,M,,18.92741
2003,C,,16.0
2004,M,,22.70271
2005,M,,24.58839
2006,M,,26.47593
2007,M,,28.36799
2008,M,,30.26729
2009,C,,23.0
2010,C,,19.2
2011,M,,36.03566
2012,M,,37.99097
2013,M,,39.96611
2014,C,,36.0
2015,C,,41.6
2016,C,,53.1
2017,M,,55.97641
2018,M,,61.28457
2019,C,,69.7
2020,M,,71.43794
2000,M,Rural,6.5114
2001,M,Rural,8.2719
2002,M,Rural,10.02085
2003,M,Rural,6.93734
2004,M,Rural,13.48802
2005,M,Rural,15.209
2006,M,Rural,16.92241
2007,M,Rural,18.63225
2008,M,Rural,20.34333
2009,M,Rural,10.14353
2010,M,Rural,7.17225
2011,M,Rural,25.53585
2012,M,Rural,27.3002
2013,M,Rural,29.08793
2014,M,Rural,25.07233
2015,M,Rural,29.00259
2016,M,Rural,42.07793
2017,M,Rural,45.88041
2018,M,Rural,51.61518
2019,M,Rural,61.69374
2020,M,Rural,62.67134
2000,M,Urban,49.84423
2001,M,Urban,51.56052
2002,M,Urban,53.27548
2003,C,Urban,50.2
2004,M,Urban,56.7292
2005,M,Urban,58.48185
2006,M,Urban,60.25885
2007,M,Urban,62.05662
2008,M,Urban,63.86947
2009,C,Urban,65.6
2010,C,Urban,58.2
2011,M,Urban,69.34164
2012,M,Urban,71.15794
2013,M,Urban,72.96217
2014,C,Urban,68.4
2015,C,Urban,78.1
2016,C,Urban,84.3
2017,M,Urban,83.8896
2018,M,Urban,87.388
2019,C,Urban,90.8
2020,M,Urban,93.98622
