Year,SDG Series,Type of product,Unit of measure,Observation-level footnotes,COMMENT_OBS,BASE_PER,Base period,Value
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.61113
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.62642
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,2.6902
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,2.61209
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,2.68062
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,2.91612
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,2.89509
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.53607
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.46174
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.47669
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.65318
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.40011
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.64806
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.68114
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.56867
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.86179
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.86317
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.37219
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.62595
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.66287
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.25947
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,1.19801
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.31185
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.24087
