Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",200.39
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",200.38
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",200.38
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",200.38
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",200.38
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",200.38
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",200.38
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",200.38
2000,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2005,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",2.362
2010,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.195
2015,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2016,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2017,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2018,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2019,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2020,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2021,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Annual forest area change rate (%) [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",-0.90668
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Annual forest area change rate (%) [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",-0.01453
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",4.3377
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",4.3377
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",4.3377
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",4.3377
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",4.3377
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",4.3377
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",4.3377
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",4.3377
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",32.7239
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",32.5118
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",33.3153
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",33.3624
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",33.4092
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",33.4564
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",33.4564
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",33.4564
