Year,UNIT_MULT,SDG Series,Unit of measure,Unit multiplier,COMMENT_OBS,Value
2001,0,Prevalence of undernourishment [2.1.1],Percent,Units,,32.2
2002,0,Prevalence of undernourishment [2.1.1],Percent,Units,,33.6
2003,0,Prevalence of undernourishment [2.1.1],Percent,Units,,34.9
2004,0,Prevalence of undernourishment [2.1.1],Percent,Units,,32.1
2005,0,Prevalence of undernourishment [2.1.1],Percent,Units,,28.5
2006,0,Prevalence of undernourishment [2.1.1],Percent,Units,,26.1
2007,0,Prevalence of undernourishment [2.1.1],Percent,Units,,26.9
2008,0,Prevalence of undernourishment [2.1.1],Percent,Units,,26.6
2009,0,Prevalence of undernourishment [2.1.1],Percent,Units,,24.7
2010,0,Prevalence of undernourishment [2.1.1],Percent,Units,,22.2
2011,0,Prevalence of undernourishment [2.1.1],Percent,Units,,20.6
2012,0,Prevalence of undernourishment [2.1.1],Percent,Units,,19.8
2013,0,Prevalence of undernourishment [2.1.1],Percent,Units,,19.5
2014,0,Prevalence of undernourishment [2.1.1],Percent,Units,,19.6
2015,0,Prevalence of undernourishment [2.1.1],Percent,Units,,21.5
2016,0,Prevalence of undernourishment [2.1.1],Percent,Units,,23.3
2017,0,Prevalence of undernourishment [2.1.1],Percent,Units,,25.1
2018,0,Prevalence of undernourishment [2.1.1],Percent,Units,,24.7
2019,0,Prevalence of undernourishment [2.1.1],Percent,Units,,25.6
2020,0,Prevalence of undernourishment [2.1.1],Percent,Units,Estimates are based on projected values,26.9
2001,6,Number of undernourish people [2.1.1],Number,Millions,,10.6
2002,6,Number of undernourish people [2.1.1],Number,Millions,,11.3
2003,6,Number of undernourish people [2.1.1],Number,Millions,,12.1
2004,6,Number of undernourish people [2.1.1],Number,Millions,,11.4
2005,6,Number of undernourish people [2.1.1],Number,Millions,,10.4
2006,6,Number of undernourish people [2.1.1],Number,Millions,,9.8
2007,6,Number of undernourish people [2.1.1],Number,Millions,,10.4
2008,6,Number of undernourish people [2.1.1],Number,Millions,,10.6
2009,6,Number of undernourish people [2.1.1],Number,Millions,,10.1
2010,6,Number of undernourish people [2.1.1],Number,Millions,,9.3
2011,6,Number of undernourish people [2.1.1],Number,Millions,,8.9
2012,6,Number of undernourish people [2.1.1],Number,Millions,,8.8
2013,6,Number of undernourish people [2.1.1],Number,Millions,,8.9
2014,6,Number of undernourish people [2.1.1],Number,Millions,,9.2
2015,6,Number of undernourish people [2.1.1],Number,Millions,,10.3
2016,6,Number of undernourish people [2.1.1],Number,Millions,,11.4
2017,6,Number of undernourish people [2.1.1],Number,Millions,,12.6
2018,6,Number of undernourish people [2.1.1],Number,Millions,,12.7
2019,6,Number of undernourish people [2.1.1],Number,Millions,,13.5
2020,6,Number of undernourish people [2.1.1],Number,Millions,Estimates are based on projected values,14.4
