Year,OBS_STATUS,NATURE,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
2001,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,16.23125
2002,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,13.5247
2003,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,15.00642
2004,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,13.60842
2005,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,14.50916
2006,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,12.84798
2007,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,11.80018
2008,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,13.88466
2009,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,15.12995
2010,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,15.18481
2011,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,12.65846
2012,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,13.61042
2013,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,13.60179
2014,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,13.36873
2015,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,14.28261
2016,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data,,,14.414
