Year,SDG Series,Sex,Occupation,Unit of measure,Value
2004,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",0.55
2008,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",0.62
2013,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",3.18
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",2.07
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",0.77
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",0.69
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",0.88
2004,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",3.04
2008,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",4.38
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",1.92
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",3.0
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",3.13
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",5.4
2004,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.07
2008,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.09
2013,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.04
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.08
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.08
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.13
2004,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.06
2008,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.09
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.1
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.11
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.11
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.12
2013,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Medical doctors,Percent,25.21
2015,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Medical doctors,Percent,50.35
2019,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Medical doctors,Percent,27.2
2013,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,54.34
2019,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,61.43
2013,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Medical doctors,Percent,74.8
2015,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Medical doctors,Percent,49.65
2019,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Medical doctors,Percent,72.81
2013,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,45.66
2019,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,38.57
