Year,COMMENT_OBS,Composite breakdown,Value
2000,Year-end value for installed capacity (watts) and mid-year for population ,,24.065
2001,Year-end value for installed capacity (watts) and mid-year for population ,,23.417
2002,Year-end value for installed capacity (watts) and mid-year for population ,,22.791
2003,Year-end value for installed capacity (watts) and mid-year for population ,,22.182
2004,Year-end value for installed capacity (watts) and mid-year for population ,,23.551
2005,Year-end value for installed capacity (watts) and mid-year for population ,,22.916
2006,Year-end value for installed capacity (watts) and mid-year for population ,,22.346
2007,Year-end value for installed capacity (watts) and mid-year for population ,,21.736
2008,Year-end value for installed capacity (watts) and mid-year for population ,,22.654
2009,Year-end value for installed capacity (watts) and mid-year for population ,,23.191
2010,Year-end value for installed capacity (watts) and mid-year for population ,,24.735
2011,Year-end value for installed capacity (watts) and mid-year for population ,,24.107
2012,Year-end value for installed capacity (watts) and mid-year for population ,,24.702
2013,Year-end value for installed capacity (watts) and mid-year for population ,,24.324
2014,Year-end value for installed capacity (watts) and mid-year for population ,,27.375
2015,Year-end value for installed capacity (watts) and mid-year for population ,,32.944
2016,Year-end value for installed capacity (watts) and mid-year for population ,,32.88
2017,Year-end value for installed capacity (watts) and mid-year for population ,,32.564
2018,Year-end value for installed capacity (watts) and mid-year for population ,,39.494
2019,Year-end value for installed capacity (watts) and mid-year for population ,,41.669
2020,Year-end value for installed capacity (watts) and mid-year for population ,,40.743
2000,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.945
2001,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.919
2002,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.895
2003,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.871
2004,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.847
2005,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.825
2006,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.855
2007,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.832
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.809
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.787
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.599
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.557
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.516
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.477
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.441
